city,year,population,price_index,infra_score,employment_rate,lat,lon
Mumbai,2020,12400000,300,9,85,19.076,72.8777
Delhi,2020,11000000,280,8,82,28.7041,77.1025
Bangalore,2020,8400000,260,9,88,12.9716,77.5946
Hyderabad,2020,6800000,220,8,80,17.385,78.4867
Pune,2020,5000000,210,7,78,18.5204,73.8567
Chennai,2020,7000000,240,8,81,13.0827,80.2707
Kolkata,2020,4500000,200,7,75,22.5726,88.3639
Ahmedabad,2020,3500000,180,7,77,23.0225,72.5714
Jaipur,2020,3000000,150,6,72,26.9124,75.7873
Chandigarh,2020,1100000,170,8,79,30.7333,76.7794
